1;1;Fernando Strada;fernando.strada@spmedicalgroup.com.br;senha@123
2;2;Ricardo Lemos;ricardo.lemos@spmedicalgroup.com.br;senha@124
3;2;Roberto Possarle;roberto.possarle@spmedicalgroup.com.br;senha@125
4;2;Helena Strada;"helena.souza@spmedicalgroup.com.br ";senha@126
5;3;Ligia;ligia@gmail.com;senha@127
6;3;Alexandre;alexandre@gmail.com;senha@128
7;3;Fernando;fernando@gmail.com;senha@129
8;3;Henrique;henrique@gmail.com;senha@130
9;3;João;joao@hotmail.com;senha@131
10;3;Bruno;bruno@gmail.com;senha@132
11;3;Mariana;mariana@outlook.com;senha@133
